Оператор: Шляк+Маилян.
Дата и время: 28.05.2019 13:54:15.
Амплитуда, В	Частота, Гц	Кнли	MEAS PEAK	RMS
1,407173	114,404919	0,018469	1,340937	0,996654
1,407159	114,405733	0,018452	1,284842	0,997287
1,407249	114,401930	0,018434	1,323916	0,993710
1,407072	114,401849	0,018408	1,343466	0,996502
1,407210	114,402175	0,018388	1,343677	0,997177
1,407121	114,404942	0,018449	1,350525	0,993606
1,406398	114,416143	0,018505	1,311429	0,997109
1,407103	114,396658	0,018443	1,334303	0,992649
1,406422	114,392985	0,018336	1,334747	0,992655
1,407123	114,406062	0,018451	1,351755	0,996205
